Unnamed: 0,Date,Open,High,Low,close,Volume,dc_next_state,predicted_state
4,2022-01-06,70.33333587646484,71.05000305175781,70.19999694824219,70.63333129882812,8820915.0,0.0,
5,2022-01-07,70.63333129882812,71.31666564941406,69.16666412353516,69.3499984741211,12974964.0,1.0,0.0
6,2022-01-10,69.6500015258789,70.5,69.33333587646484,70.28333282470703,9408897.0,1.0,1.0
7,2022-01-11,70.33333587646484,70.71666717529297,69.51666259765625,70.1500015258789,10022118.0,1.0,1.0
8,2022-01-12,70.33333587646484,70.6500015258789,69.5999984741211,70.19999694824219,7794744.0,1.0,1.0
9,2022-01-13,70.63333129882812,70.76666259765625,69.08333587646484,69.8499984741211,12144687.0,0.0,1.0
10,2022-01-14,69.69999694824219,74.03333282470703,69.46666717529297,73.36666870117188,27463650.0,0.0,0.0
11,2022-01-17,74.0,74.26666259765625,71.93333435058594,72.16666412353516,28842888.0,0.0,0.0
12,2022-01-18,72.76666259765625,72.83333587646484,69.19999694824219,69.44999694824219,17939775.0,1.0,0.0
13,2022-01-19,69.71666717529297,70.13333129882812,68.33333587646484,69.38333129882812,30378717.0,1.0,1.0
14,2022-01-20,69.66666412353516,70.93333435058594,69.1500015258789,70.78333282470703,20278191.0,1.0,1.0
15,2022-01-21,70.46666717529297,70.55000305175781,68.33333587646484,68.98332977294922,17723898.0,1.0,1.0
16,2022-01-24,68.98332977294922,69.58333587646484,65.01666259765625,65.76666259765625,20025537.0,1.0,1.0
17,2022-01-25,65.43333435058594,68.5,64.73332977294922,68.06666564941406,29718342.0,1.0,1.0
18,2022-01-27,67.30000305175781,68.76666259765625,66.05000305175781,68.30000305175781,23800311.0,1.0,1.0
19,2022-01-28,68.91666412353516,70.33333587646484,68.44999694824219,69.03333282470703,24666333.0,1.0,1.0
20,2022-01-31,71.56666564941406,73.25,69.21666717529297,69.9000015258789,53776260.0,1.0,1.0
21,2022-02-01,70.55000305175781,70.81666564941406,67.78333282470703,69.13333129882812,29395494.0,1.0,1.0
22,2022-02-02,69.8499984741211,70.73332977294922,69.5,70.25,30206025.0,1.0,1.0
23,2022-02-03,70.33333587646484,70.48332977294922,69.18333435058594,69.31666564941406,11555226.0,1.0,1.0
24,2022-02-04,69.81666564941406,69.86666870117188,68.11666870117188,68.26666259765625,17933076.0,1.0,1.0
25,2022-02-07,68.30000305175781,68.5999984741211,66.53333282470703,67.36666870117188,18325029.0,1.0,1.0
26,2022-02-08,67.4000015258789,67.96666717529297,65.46666717529297,66.5,26278878.0,1.0,1.0
